warn  2021-10-25 19:55:16: `permit_join` set to  `true` in configuration.yaml.
error 2021-10-26 19:49:18: No converter available for 'update_available' (false)
error 2021-10-26 19:49:18: No converter available for 'update' ([object Object])
error 2021-10-26 19:49:18: No converter available for 'linkquality' (31)
error 2021-10-26 19:49:18: No converter available for 'battery' (74)
error 2021-10-26 19:49:18: No converter available for 'action' (toggle)
error 2021-10-26 19:49:19: No converter available for 'action' (toggle)
error 2021-10-26 19:49:19: No converter available for 'battery' (74)
error 2021-10-26 19:49:19: No converter available for 'linkquality' (31)
error 2021-10-26 19:49:19: No converter available for 'update' ([object Object])
error 2021-10-26 19:49:19: No converter available for 'update_available' (false)
error 2021-10-26 19:49:19: No converter available for 'lamp' (lampBedroom)
error 2021-10-26 19:49:20: No converter available for 'lamp' (lampBedroom)
